<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190103,00:00:00,154.1300000,157.3000000,154.1100000,156.2800000,14156530
20190104,00:00:00,156.7400000,159.1500000,156.7100000,159.1500000,14532100
20190108,00:00:00,158.6500000,158.9400000,156.5500000,158.2600000,16952510
20190109,00:00:00,158.8800000,160.4000000,158.4000000,160.2400000,19132150
20190110,00:00:00,159.7400000,160.2000000,157.5600000,160.2000000,19908540
20190111,00:00:00,160.2100000,161.1300000,159.8000000,161.0000000,17594360
20190114,00:00:00,159.8400000,160.7500000,159.2000000,160.4800000,12570310
20190115,00:00:00,160.9700000,161.5000000,157.3500000,158.1500000,20807500
20190116,00:00:00,158.3500000,158.7500000,155.8000000,156.9000000,20854450
20190117,00:00:00,157.2100000,157.2900000,155.6000000,157.1000000,16138910
20190118,00:00:00,158.1700000,159.2000000,157.4300000,159.2000000,18171920
20190121,00:00:00,159.0200000,160.0700000,158.0100000,158.3000000,11848340
20190122,00:00:00,157.8600000,158.5000000,156.5700000,158.5000000,18825760
20190123,00:00:00,158.2200000,159.9000000,158.0200000,159.9000000,14565330
20190124,00:00:00,159.7100000,162.7800000,158.8600000,160.9000000,35642150
20190125,00:00:00,161.6100000,162.8200000,160.1800000,162.8200000,19740330
20190128,00:00:00,162.4000000,163.5800000,159.8200000,160.5600000,23869790
20190129,00:00:00,160.1400000,162.9800000,159.0000000,162.9500000,22802210
20190130,00:00:00,162.5100000,165.8400000,162.2600000,165.4000000,25103830
20190131,00:00:00,166.0000000,166.4900000,162.5500000,162.8200000,30619120
20190201,00:00:00,162.4700000,164.3700000,161.7500000,163.3300000,23022290
20190204,00:00:00,163.3700000,165.0000000,162.8100000,163.2000000,11455620
20190205,00:00:00,163.4500000,165.4300000,162.5400000,164.2500000,13705790
20190206,00:00:00,164.4400000,164.6700000,163.0700000,163.2100000,9544680
20190207,00:00:00,162.8800000,163.4400000,159.1000000,160.3900000,23511620
20190208,00:00:00,159.1700000,161.3600000,158.1100000,159.8000000,19392120
20190211,00:00:00,160.4300000,162.3000000,160.1800000,161.2900000,19102430
20190212,00:00:00,161.5000000,163.6800000,160.7500000,163.6800000,14959180
20190213,00:00:00,163.9400000,164.2800000,159.2700000,159.2700000,21976740
20190214,00:00:00,157.3500000,158.7400000,155.1500000,155.1500000,38217060
20190215,00:00:00,155.9900000,159.0400000,155.8900000,159.0400000,24534440
20190218,00:00:00,159.2500000,159.9000000,156.1400000,156.4300000,17714880
20190219,00:00:00,156.4900000,157.1400000,153.3600000,154.0300000,20048780
20190220,00:00:00,154.6700000,155.6600000,153.6700000,154.4300000,21132090
20190221,00:00:00,154.8400000,155.4100000,153.0100000,153.5000000,15195440
20190222,00:00:00,153.5100000,155.6500000,153.4900000,154.6400000,13174630
20190225,00:00:00,155.0100000,155.3700000,153.5600000,154.6000000,14729430
20190226,00:00:00,153.9200000,155.3600000,152.8200000,155.3600000,18264040
