<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20210104;10:00:00;274.6700000;274.6700000;273.1000000;273.9400000;5217270
20210104;11:00:00;273.9900000;274.4900000;272.5400000;273.9500000;5296560
20210104;12:00:00;273.9500000;276.2800000;273.9300000;276.0000000;7927210
20210104;13:00:00;275.9800000;276.2300000;275.0200000;275.3000000;2635420
20210104;14:00:00;275.3000000;275.9800000;275.2300000;275.6800000;1642390
20210104;15:00:00;275.6800000;275.8500000;274.5600000;275.0600000;2794540
20210104;16:00:00;274.9600000;276.2400000;274.9400000;276.2000000;4380560
20210104;17:00:00;276.1900000;276.6000000;275.1800000;276.2800000;4271610
20210104;18:00:00;276.2900000;276.4800000;274.6500000;276.0000000;5685910
20210104;19:00:00;275.5000000;275.6000000;273.7700000;273.8000000;2411180
20210104;20:00:00;273.8300000;273.9000000;270.6100000;271.5500000;4178330
20210104;21:00:00;271.5500000;272.9800000;271.5000000;272.6000000;986610
20210104;22:00:00;272.6000000;272.8700000;271.8200000;272.2000000;759820
20210104;23:00:00;272.1600000;272.2900000;271.5300000;272.0000000;612050
20210105;10:00:00;272.6700000;273.2800000;270.2800000;270.6500000;7091940
20210105;11:00:00;270.6500000;272.4000000;270.3300000;272.3800000;5466620
20210105;12:00:00;272.3200000;272.9400000;271.8900000;272.6800000;2468690
20210105;13:00:00;272.6500000;273.8400000;272.4600000;273.2700000;3173870
20210105;14:00:00;273.2100000;273.3900000;272.3500000;272.7100000;2225630
20210105;15:00:00;272.7900000;273.3600000;272.3500000;273.2300000;1969870
20210105;16:00:00;273.2200000;273.2800000;271.8000000;271.8900000;2480630
20210105;17:00:00;271.8900000;275.5500000;271.8700000;275.4000000;8649400
20210105;18:00:00;275.4000000;275.7000000;273.8200000;273.8200000;7970830
20210105;19:00:00;273.9700000;274.2900000;273.4100000;274.2500000;1193160
20210105;20:00:00;274.2500000;274.8000000;274.0700000;274.5900000;743200
20210105;21:00:00;274.5900000;275.0000000;274.5200000;274.9800000;686970
20210105;22:00:00;274.9800000;275.2800000;274.9100000;275.2700000;629440
20210105;23:00:00;275.2700000;275.5700000;275.1600000;275.2000000;803850
20210106;10:00:00;275.9000000;275.9200000;273.6800000;274.1200000;5556990
20210106;11:00:00;274.1300000;274.4400000;272.3800000;273.1900000;6480220
